State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Injury_Deaths_Rank,Injury_Deaths_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Year,Uninsured_Rank,Uninsured_Value
Pennsylvania,Y,2949567.0,26.0,0.022000000000000002,35.0,200.3,35.0,265.7,22.0,86.1,6.0,85.5,28.0,10.6,7.0,22.2,46.0,28.1,29.0,32.6,24.0,33.0,26.0,70.4,27.0,6.1,30.0,76.4,26.0,31.6,33.0,8013.0,5.0,208.7,40.0,9.4,38.0,4.8,2018,11.0,5.6
Georgia,N,1821852.0,44.0,-0.33,31.0,195.5,38.0,282.9,7.0,89.4,41.0,72.5,38.0,11.4,12.0,24.7,13.0,12.7,33.0,33.1,10.0,31.1,50.0,65.6,45.0,7.6,14.0,66.9,26.0,31.6,36.0,8391.0,42.0,121.9,32.0,8.8,35.0,4.7,2018,47.0,13.2
Oklahoma,N,728153.0,47.0,-0.4320000000000001,45.0,216.8,48.0,338.9,44.0,82.0,36.0,75.2,43.0,12.7,21.0,26.5,34.0,20.4,42.0,37.7,44.0,37.0,43.0,67.3,43.0,7.4,47.0,95.8,48.0,36.5,44.0,9992.0,36.0,129.4,17.0,7.4,28.0,4.4,2018,49.0,14.0
Minnesota,Y,1069346.0,9.0,0.38299999999999995,12.0,181.4,1.0,190.3,17.0,86.9,38.0,74.7,4.0,7.8,14.0,25.5,6.0,10.8,3.0,26.6,3.0,29.0,48.0,66.1,11.0,5.1,11.0,62.3,14.0,28.4,1.0,5653.0,16.0,165.9,8.0,6.5,11.0,3.4,2018,4.0,4.3
New Jersey,Y,1738183.0,9.0,0.38299999999999995,15.0,182.3,26.0,245.4,2.0,91.1,22.0,79.2,32.0,11.0,40.0,31.2,27.0,17.6,32.0,33.0,35.0,34.6,35.0,69.3,5.0,4.4,3.0,50.1,10.0,27.2,8.0,6225.0,12.0,176.3,36.0,9.2,32.0,4.6,2018,24.0,7.9
Alabama,N,911983.0,48.0,-0.483,42.0,210.5,49.0,342.6,14.0,87.5,22.0,79.2,48.0,14.1,9.0,23.1,20.0,15.4,49.0,41.9,45.0,37.2,21.0,71.2,49.0,8.7,34.0,80.2,46.0,36.3,48.0,10720.0,41.0,122.8,26.0,8.2,25.0,4.3,2018,36.0,9.3
Illinois,Y,2860188.0,24.0,0.083,34.0,199.9,33.0,260.1,18.0,86.8,15.0,81.9,32.0,11.0,46.0,33.7,19.0,15.3,25.0,32.2,20.0,32.5,9.0,75.4,30.0,6.2,6.0,58.3,24.0,31.1,21.0,7127.0,10.0,184.0,36.0,9.2,41.0,4.9,2018,20.0,6.7
Wisconsin,N,1020034.0,23.0,0.174,25.0,191.1,23.0,238.7,31.0,85.0,13.0,82.3,12.0,9.1,41.0,31.3,24.0,16.4,19.0,30.8,34.0,34.5,36.0,69.2,24.0,6.0,25.0,74.1,30.0,32.0,17.0,6821.0,20.0,150.1,8.0,6.5,7.0,3.2,2018,10.0,5.4
Michigan,Y,2333409.0,30.0,-0.065,38.0,203.0,42.0,297.8,9.0,89.2,8.0,84.8,32.0,11.0,14.0,25.5,35.0,20.8,36.0,34.7,38.0,35.1,29.0,69.9,33.0,6.5,18.0,70.8,32.0,32.3,34.0,8102.0,6.0,200.9,34.0,9.1,35.0,4.7,2018,8.0,5.3
Wyoming,N,58118.0,25.0,0.055999999999999994,5.0,168.8,20.0,237.5,47.0,80.4,48.0,68.5,10.0,9.0,11.0,24.5,27.0,17.6,19.0,30.8,7.0,30.8,18.0,72.0,10.0,5.0,46.0,95.2,17.0,28.8,27.0,7636.0,46.0,109.4,25.0,8.1,25.0,4.3,2018,44.0,11.9
North Carolina,N,1763338.0,31.0,-0.08,33.0,197.9,29.0,254.6,20.0,86.7,24.0,78.8,38.0,11.4,35.0,30.2,22.0,16.2,36.0,34.7,39.0,35.5,25.0,70.9,41.0,7.3,22.0,71.6,31.0,32.1,35.0,8177.0,33.0,132.5,26.0,8.2,31.0,4.5,2018,42.0,10.6
Missouri,N,888597.0,36.0,-0.242,40.0,207.2,40.0,291.7,26.0,85.6,32.0,76.2,19.0,10.4,8.0,22.3,31.0,19.5,24.0,32.0,33.0,34.3,21.0,71.2,33.0,6.5,40.0,82.4,34.0,32.5,38.0,8717.0,15.0,166.4,14.0,7.1,19.0,3.8,2018,33.0,9.0
North Dakota,Y,91072.0,19.0,0.275,10.0,177.8,12.0,228.0,45.0,80.9,46.0,70.9,10.0,9.0,16.0,25.9,3.0,8.3,8.0,29.5,10.0,31.1,4.0,78.8,37.0,6.8,16.0,69.5,38.0,33.1,19.0,7047.0,21.0,149.5,1.0,5.3,2.0,2.6,2018,21.0,7.3
South Carolina,N,1044270.0,46.0,-0.379,37.0,202.0,36.0,277.7,14.0,87.5,27.0,77.4,46.0,13.4,23.0,27.3,21.0,16.1,43.0,38.1,42.0,36.7,49.0,66.0,38.0,7.0,39.0,81.6,41.0,34.1,41.0,9232.0,37.0,128.9,20.0,7.8,28.0,4.4,2018,41.0,10.5
West Virginia,Y,520656.0,40.0,-0.285,49.0,227.4,43.0,299.6,21.0,86.6,19.0,80.7,50.0,15.2,4.0,20.0,50.0,41.4,50.0,43.5,50.0,39.7,12.0,74.7,39.0,7.2,50.0,109.0,50.0,38.1,50.0,11136.0,14.0,168.5,47.0,10.2,47.0,5.2,2018,13.0,5.7
Arkansas,Y,850695.0,45.0,-0.361,47.0,218.6,47.0,330.2,41.0,82.8,20.0,80.5,42.0,12.2,5.0,21.2,14.0,13.2,48.0,41.3,43.0,36.8,34.0,69.4,46.0,7.8,38.0,81.1,44.0,35.0,45.0,10099.0,43.0,120.9,14.0,7.1,16.0,3.7,2018,24.0,7.9
Connecticut,Y,855943.0,3.0,0.644,8.0,174.7,7.0,217.9,1.0,91.4,7.0,85.4,17.0,9.8,43.0,32.4,39.0,22.1,14.0,30.5,18.0,32.2,10.0,75.3,13.0,5.2,10.0,61.7,9.0,26.9,3.0,5923.0,4.0,216.3,46.0,10.1,41.0,4.9,2018,7.0,5.2
Delaware,Y,248964.0,29.0,0.004,36.0,200.8,28.0,253.9,5.0,90.2,16.0,81.6,36.0,11.3,20.0,26.4,42.0,24.0,40.0,34.9,35.0,34.6,6.0,77.1,48.0,8.4,17.0,70.0,28.0,31.8,32.0,7992.0,18.0,161.4,43.0,9.7,38.0,4.8,2018,11.0,5.6
Ohio,Y,2651092.0,37.0,-0.251,41.0,210.3,39.0,286.5,29.0,85.3,17.0,81.2,36.0,11.3,24.0,27.6,48.0,30.4,36.0,34.7,28.0,33.4,45.0,66.4,41.0,7.3,34.0,80.2,40.0,33.8,40.0,8998.0,13.0,174.6,36.0,9.2,43.0,5.0,2018,14.0,5.8
Iowa,Y,691918.0,21.0,0.24,30.0,195.3,27.0,245.8,37.0,84.4,12.0,82.6,15.0,9.6,31.0,29.1,4.0,9.8,22.0,31.5,30.0,34.1,16.0,72.8,11.0,5.1,12.0,64.3,47.0,36.4,16.0,6812.0,22.0,146.7,4.0,6.2,7.0,3.2,2018,5.0,4.5
Indiana,Y,1450933.0,38.0,-0.252,42.0,210.5,37.0,278.5,40.0,83.4,18.0,80.8,40.0,11.8,17.0,26.1,33.0,20.2,41.0,35.2,30.0,34.1,46.0,66.3,43.0,7.4,24.0,73.4,39.0,33.6,39.0,8774.0,39.0,126.0,13.0,7.0,13.0,3.6,2018,27.0,8.2
Tennessee,N,1396302.0,41.0,-0.28600000000000003,46.0,217.7,45.0,310.4,10.0,89.0,27.0,77.4,45.0,13.1,36.0,30.6,38.0,22.0,44.0,38.7,41.0,36.5,2.0,79.3,39.0,7.2,42.0,85.4,35.0,32.8,43.0,9756.0,28.0,140.2,21.0,7.9,16.0,3.7,2018,36.0,9.3
Washington,Y,1739111.0,7.0,0.45299999999999996,18.0,184.3,6.0,217.6,26.0,85.6,34.0,75.6,12.0,9.1,29.0,28.6,18.0,14.6,8.0,29.5,14.0,31.8,29.0,69.9,7.0,4.6,13.0,64.9,12.0,27.7,4.0,5942.0,23.0,146.5,36.0,9.2,32.0,4.6,2018,17.0,6.1
Rhode Island,Y,311254.0,13.0,0.358,28.0,193.5,15.0,231.2,4.0,90.5,1.0,87.8,9.0,8.9,30.0,28.8,45.0,27.5,33.0,33.1,24.0,33.0,14.0,74.4,19.0,5.7,18.0,70.8,22.0,30.0,12.0,6561.0,1.0,264.5,23.0,8.0,28.0,4.4,2018,5.0,4.5
New York,Y,6523404.0,11.0,0.375,9.0,177.7,32.0,258.5,6.0,89.5,11.0,82.8,23.0,10.5,37.0,30.8,17.0,14.3,7.0,29.4,22.0,32.6,42.0,67.5,6.0,4.5,1.0,45.7,6.0,25.7,5.0,5978.0,3.0,223.7,31.0,8.6,32.0,4.6,2018,15.0,5.9
Maine,Y,263741.0,15.0,0.273,39.0,205.7,12.0,227.4,9.0,81.2,2.0,88.1,27.0,10.6,25.0,29.3,29.0,16.7,36.0,34.1,40.0,38.5,26.0,70.6,33.0,6.6,23.0,69.5,24.0,29.9,22.0,7144.0,7.0,187.4,22.0,8.7,10.0,3.9,2017,24.0,8.2
Montana,Y,274234.0,23.0,0.115,17.0,183.5,17.0,231.8,38.0,74.6,39.0,73.6,5.0,8.1,6.0,21.4,17.0,13.4,7.0,29.1,4.0,33.1,48.0,63.6,20.0,5.7,46.0,90.9,6.0,25.5,36.0,8229.0,44.0,113.6,20.0,8.5,17.0,4.2,2017,36.0,9.9
Tennessee,N,1548572.0,45.0,-0.381,44.0,216.5,45.0,308.0,12.0,80.2,27.0,78.0,44.0,12.7,15.0,26.0,39.0,19.9,44.0,38.5,47.0,40.0,40.0,67.4,38.0,6.9,41.0,81.4,45.0,34.8,43.0,9467.0,27.0,138.5,25.0,9.4,24.0,4.7,2017,34.0,9.7
Michigan,Y,2366223.0,30.0,-0.071,38.0,201.5,42.0,293.0,17.0,79.2,7.0,85.2,33.0,11.2,18.0,26.8,35.0,18.0,33.0,33.1,39.0,38.2,29.0,70.2,32.0,6.5,17.0,66.6,40.0,32.5,31.0,7853.0,6.0,193.0,34.0,10.3,26.0,4.9,2017,11.0,5.8
Alaska,Y,200369.0,34.0,-0.19,29.0,194.9,11.0,222.2,49.0,69.2,50.0,67.8,3.0,7.5,1.0,11.1,27.0,15.6,4.0,27.5,6.0,33.9,34.0,68.8,36.0,6.7,45.0,90.8,30.0,31.4,37.0,8342.0,30.0,133.7,50.0,12.8,49.0,6.6,2017,49.0,14.5
Wisconsin,N,1034480.0,21.0,0.201,26.0,191.7,24.0,238.1,26.0,77.5,14.0,82.9,19.0,9.8,10.0,24.9,26.0,15.1,12.0,29.6,20.0,36.1,3.0,79.4,20.0,5.7,27.0,70.1,27.0,30.7,13.0,6437.0,20.0,145.2,14.0,7.9,15.0,4.1,2017,7.0,5.5
North Carolina,N,1789111.0,31.0,-0.084,32.0,196.9,30.0,254.3,7.0,81.7,23.0,78.8,35.0,11.3,47.0,35.5,19.0,14.0,40.0,35.2,31.0,37.0,6.0,77.8,42.0,7.2,21.0,67.5,35.0,31.8,33.0,7889.0,34.0,130.9,25.0,9.4,33.0,5.0,2017,41.0,10.8
New Jersey,Y,1779163.0,12.0,0.375,15.0,182.2,27.0,245.4,3.0,83.4,16.0,82.3,13.0,9.2,50.0,36.4,24.0,14.8,25.0,30.9,15.0,35.4,29.0,70.2,5.0,4.6,2.0,47.4,13.0,27.3,5.0,5875.0,12.0,171.1,28.0,9.7,26.0,4.9,2017,25.0,8.4
Mississippi,N,646923.0,50.0,-0.705,48.0,226.7,50.0,352.5,32.0,76.0,31.0,77.4,48.0,13.6,3.0,19.0,8.0,11.5,49.0,42.4,41.0,38.7,27.0,70.4,50.0,8.8,44.0,85.6,49.0,37.3,50.0,10950.0,47.0,105.9,44.0,10.9,43.0,5.7,2017,45.0,12.3
South Carolina,N,1036707.0,46.0,-0.424,37.0,201.3,36.0,277.0,20.0,79.0,26.0,78.4,45.0,13.0,8.0,24.0,23.0,14.5,43.0,37.8,42.0,38.9,32.0,69.7,36.0,6.7,34.0,76.0,39.0,32.3,42.0,9131.0,36.0,127.0,28.0,9.7,26.0,4.9,2017,39.0,10.5
Alabama,N,899570.0,47.0,-0.4270000000000001,43.0,210.6,49.0,339.6,14.0,79.9,24.0,78.7,49.0,14.6,11.0,25.1,22.0,14.3,48.0,40.4,50.0,42.0,7.0,77.3,49.0,8.5,35.0,76.2,47.0,35.7,48.0,10321.0,42.0,119.3,38.0,10.4,46.0,6.0,2017,33.0,9.6
Virginia,Y,1028297.0,19.0,0.24100000000000002,24.0,190.1,25.0,239.1,11.0,81.1,28.0,77.9,23.0,10.4,42.0,33.7,7.0,11.3,34.0,33.2,16.0,35.6,45.0,65.9,23.0,5.8,9.0,57.6,21.0,29.0,19.0,6696.0,24.0,141.8,23.0,9.1,15.0,4.1,2017,28.0,8.9
Indiana,Y,1478130.0,37.0,-0.207,42.0,210.5,37.0,277.5,43.0,73.5,18.0,81.7,37.0,11.5,22.0,28.1,34.0,17.9,29.0,32.4,44.0,39.1,34.0,68.8,42.0,7.2,24.0,69.6,40.0,32.5,38.0,8471.0,39.0,123.4,18.0,8.3,22.0,4.5,2017,28.0,8.9
Wyoming,N,61072.0,29.0,-0.017,7.0,170.3,21.0,233.1,36.0,74.9,48.0,68.9,6.0,8.3,28.0,29.8,30.0,17.6,15.0,29.9,11.0,35.0,49.0,62.8,20.0,5.7,47.0,91.7,16.0,27.7,34.0,8130.0,48.0,105.7,32.0,10.1,37.0,5.4,2017,43.0,11.5
Ohio,Y,2845785.0,40.0,-0.266,40.0,208.7,39.0,283.6,23.0,77.9,15.0,82.7,31.0,11.1,18.0,26.8,46.0,24.5,38.0,34.3,28.0,36.7,38.0,68.0,40.0,7.0,30.0,72.1,32.0,31.5,39.0,8492.0,13.0,167.3,28.0,9.7,26.0,4.9,2017,14.0,6.1
Pennsylvania,Y,2986599.0,24.0,0.06,35.0,199.6,35.0,263.3,19.0,79.1,6.0,85.8,35.0,11.3,7.0,22.2,43.0,22.2,31.0,32.5,23.0,36.2,20.0,73.7,26.0,6.0,26.0,70.0,26.0,30.3,28.0,7541.0,5.0,199.8,40.0,10.6,42.0,5.6,2017,13.0,6.0
Arkansas,Y,913196.0,48.0,-0.449,47.0,219.5,47.0,323.0,29.0,76.8,21.0,80.3,47.0,13.5,14.0,25.5,14.0,12.3,46.0,39.3,49.0,41.3,39.0,67.8,44.0,7.5,39.0,77.8,47.0,35.7,45.0,9972.0,43.0,115.4,8.0,7.5,10.0,3.9,2017,27.0,8.7
Texas,N,4474461.0,38.0,-0.214,11.0,180.9,34.0,261.1,45.0,72.6,48.0,68.9,33.0,11.2,36.0,31.6,5.0,9.7,11.0,29.5,20.0,36.1,33.0,69.5,23.0,5.8,10.0,58.3,43.0,33.6,23.0,7175.0,45.0,112.9,21.0,8.6,23.0,4.6,2017,50.0,16.9
Illinois,Y,3062268.0,27.0,0.006999999999999999,36.0,199.8,33.0,257.8,22.0,78.2,17.0,82.1,23.0,10.4,34.0,31.3,16.0,13.2,23.0,30.8,19.0,36.0,25.0,71.5,30.0,6.3,6.0,54.4,33.0,31.6,20.0,6825.0,10.0,175.3,45.0,11.0,44.0,5.9,2017,20.0,6.8
Massachusetts,Y,1683846.0,1.0,0.778,18.0,183.6,3.0,208.3,1.0,83.7,1.0,88.9,14.0,9.3,35.0,31.5,38.0,19.8,12.0,29.6,10.0,34.5,1.0,85.3,2.0,4.4,5.0,50.8,2.0,23.6,6.0,5970.0,2.0,237.1,15.0,8.1,9.0,3.7,2017,1.0,2.7
Oregon,Y,976182.0,17.0,0.24600000000000002,25.0,190.6,8.0,217.6,30.0,76.6,25.0,78.6,18.0,9.5,32.0,31.0,14.0,12.3,19.0,30.1,30.0,36.8,50.0,58.1,12.0,5.1,22.0,68.2,20.0,28.7,14.0,6507.0,22.0,143.8,34.0,10.3,26.0,4.9,2017,18.0,6.6
Hawaii,Y,346747.0,3.0,0.6409999999999999,3.0,161.0,4.0,210.7,44.0,73.2,10.0,84.7,25.0,10.5,12.0,25.3,8.0,11.5,28.0,32.0,25.0,36.3,15.0,75.1,15.0,5.2,4.0,50.5,3.0,23.8,7.0,6031.0,9.0,179.9,8.0,7.5,3.0,3.0,2017,2.0,3.8
Vermont,Y,163649.0,2.0,0.674,27.0,192.5,16.0,231.6,16.0,79.6,3.0,88.0,7.0,8.4,38.0,32.1,25.0,14.9,10.0,29.4,7.0,34.0,9.0,76.8,5.0,4.6,31.0,72.5,12.0,27.1,10.0,6326.0,11.0,175.1,5.0,7.1,4.0,3.3,2017,2.0,3.8
Arizona,Y,1716236.0,33.0,-0.157,6.0,169.6,5.0,214.4,27.0,76.9,40.0,73.3,29.0,10.8,21.0,28.0,37.0,19.0,23.0,30.8,33.0,37.3,31.0,69.9,23.0,5.8,40.0,78.0,21.0,29.0,25.0,7246.0,37.0,126.0,42.0,10.8,35.0,5.2,2017,38.0,10.4
Utah,N,302585.0,6.0,0.491,1.0,150.5,17.0,231.8,50.0,68.3,41.0,72.7,2.0,7.2,25.0,29.3,44.0,22.9,1.0,23.6,2.0,32.2,23.0,72.2,10.0,5.0,38.0,77.2,5.0,25.3,12.0,6399.0,49.0,99.8,8.0,7.5,8.0,3.6,2017,34.0,9.7
Idaho,N,297688.0,14.0,0.284,13.0,181.3,22.0,233.4,46.0,72.3,44.0,72.3,11.0,8.9,45.0,33.9,18.0,13.7,26.0,31.2,36.0,37.6,18.0,73.9,12.0,5.1,33.0,74.3,14.0,27.4,18.0,6599.0,50.0,96.6,12.0,7.8,10.0,3.9,2017,40.0,10.6
Maryland,Y,1323306.0,13.0,0.313,21.0,187.8,31.0,255.0,1.0,83.7,9.0,84.8,29.0,10.8,33.0,31.2,32.0,17.7,31.0,32.5,18.0,35.9,17.0,74.4,33.0,6.6,11.0,60.2,24.0,29.9,21.0,7113.0,8.0,184.9,15.0,8.1,17.0,4.2,2017,17.0,6.4
Washington,Y,1782832.0,11.0,0.39,16.0,183.3,6.0,215.7,39.0,74.5,34.0,75.7,16.0,9.4,40.0,33.5,21.0,14.2,14.0,29.7,23.0,36.2,12.0,75.7,8.0,4.7,15.0,63.3,19.0,28.6,8.0,6096.0,21.0,144.0,34.0,10.3,41.0,5.5,2017,16.0,6.3
Iowa,Y,668047.0,20.0,0.22899999999999998,30.0,195.2,26.0,245.1,33.0,75.7,11.0,83.4,14.0,9.3,27.0,29.6,4.0,9.4,22.0,30.6,20.0,36.1,21.0,73.5,4.0,4.5,13.0,61.7,37.0,32.0,11.0,6333.0,23.0,142.3,6.0,7.2,10.0,3.9,2017,5.0,4.7
New York,Y,6477870.0,10.0,0.402,9.0,178.2,32.0,257.6,13.0,80.0,11.0,83.4,25.0,10.5,31.0,30.9,13.0,12.2,9.0,29.3,27.0,36.6,22.0,72.3,5.0,4.6,1.0,43.2,6.0,25.5,3.0,5701.0,3.0,215.5,25.0,9.4,25.0,4.8,2017,18.0,6.6
Georgia,N,1812561.0,42.0,-0.303,30.0,195.2,38.0,278.1,17.0,79.2,41.0,72.7,42.0,12.1,24.0,28.9,12.0,11.9,41.0,36.2,25.0,36.3,7.0,77.3,45.0,7.6,14.0,63.1,30.0,31.4,35.0,8185.0,41.0,119.9,39.0,10.5,37.0,5.4,2017,47.0,13.4
West Virginia,Y,539251.0,44.0,-0.358,49.0,226.9,43.0,295.5,6.0,82.3,20.0,80.5,50.0,15.0,12.0,25.3,50.0,35.3,50.0,42.7,43.0,39.0,47.0,64.7,41.0,7.1,50.0,101.1,50.0,37.7,49.0,10478.0,17.0,159.6,45.0,11.0,47.0,6.1,2017,10.0,5.7
California,Y,12220546.0,18.0,0.245,5.0,169.3,15.0,230.4,27.0,76.9,32.0,76.0,22.0,10.2,49.0,36.3,10.0,11.8,6.0,28.5,8.0,34.2,46.0,65.3,2.0,4.4,3.0,48.3,4.0,25.0,2.0,5647.0,29.0,135.1,47.0,11.3,37.0,5.4,2017,23.0,8.0
Minnesota,Y,1082484.0,8.0,0.42200000000000004,11.0,180.9,1.0,189.7,21.0,78.3,41.0,72.7,7.0,8.4,17.0,26.5,6.0,9.9,3.0,26.3,3.0,32.3,19.0,73.8,12.0,5.1,11.0,60.2,17.0,27.8,1.0,5555.0,14.0,162.3,11.0,7.7,10.0,3.9,2017,4.0,4.3
Nebraska,N,245863.0,16.0,0.26,20.0,187.3,20.0,232.2,35.0,75.1,19.0,80.9,10.0,8.8,46.0,34.6,2.0,6.7,15.0,29.9,13.0,35.1,2.0,80.6,19.0,5.4,7.0,57.1,37.0,32.0,17.0,6592.0,19.0,150.7,2.0,6.2,7.0,3.4,2017,25.0,8.4
New Hampshire,Y,189811.0,5.0,0.547,22.0,188.1,7.0,217.0,5.0,82.9,4.0,87.9,12.0,9.0,39.0,33.2,45.0,24.4,8.0,29.2,17.0,35.7,5.0,78.0,1.0,4.2,28.0,71.3,10.0,26.6,16.0,6572.0,15.0,160.6,4.0,6.4,1.0,2.8,2017,14.0,6.1
South Dakota,N,112386.0,26.0,0.043,19.0,184.7,23.0,233.9,42.0,74.0,32.0,76.0,4.0,7.9,2.0,18.8,3.0,7.5,15.0,29.9,5.0,33.3,27.0,70.4,33.0,6.6,32.0,74.1,23.0,29.6,29.0,7627.0,38.0,125.8,1.0,5.2,1.0,2.8,2017,32.0,9.5
Kentucky,Y,1272976.0,39.0,-0.22899999999999998,50.0,233.6,44.0,296.4,31.0,76.5,22.0,79.6,46.0,13.1,5.0,20.3,49.0,25.5,45.0,39.0,48.0,40.7,16.0,74.5,38.0,6.9,43.0,85.4,44.0,34.2,47.0,10042.0,40.0,120.6,28.0,9.7,26.0,4.9,2017,9.0,5.6
New Mexico,Y,743780.0,36.0,-0.196,4.0,169.0,10.0,219.2,47.0,72.1,46.0,70.1,39.0,11.6,29.0,30.0,47.0,24.9,18.0,30.0,9.0,34.3,36.0,68.5,15.0,5.2,49.0,100.6,18.0,28.3,41.0,8913.0,28.0,136.6,49.0,12.6,50.0,6.8,2017,37.0,10.1
North Dakota,Y,93983.0,22.0,0.166,10.0,179.6,13.0,228.7,48.0,71.8,38.0,73.9,9.0,8.6,16.0,26.3,1.0,5.7,20.0,30.4,11.0,35.0,37.0,68.2,27.0,6.1,18.0,66.8,36.0,31.9,24.0,7225.0,25.0,140.5,2.0,6.2,4.0,3.3,2017,21.0,7.4
Kansas,N,389441.0,25.0,0.057,28.0,194.3,29.0,253.5,41.0,74.1,30.0,77.6,16.0,9.4,37.0,31.7,10.0,11.8,27.0,31.6,34.0,37.4,10.0,76.4,27.0,6.1,24.0,69.6,29.0,31.2,26.0,7380.0,31.0,133.3,17.0,8.2,17.0,4.2,2017,28.0,8.9
Florida,N,3814637.0,32.0,-0.155,14.0,182.1,14.0,229.0,15.0,79.7,45.0,72.0,40.0,11.8,23.0,28.7,20.0,14.1,35.0,33.5,37.0,38.0,41.0,67.1,29.0,6.2,16.0,65.4,14.0,27.4,27.0,7412.0,32.0,131.6,34.0,10.3,26.0,4.9,2017,46.0,12.9
Colorado,Y,1357645.0,9.0,0.406,2.0,160.9,2.0,203.0,24.0,77.7,37.0,74.4,1.0,6.6,42.0,33.7,28.0,16.0,2.0,25.7,1.0,31.5,10.0,76.4,8.0,4.7,36.0,76.5,1.0,22.3,9.0,6113.0,26.0,139.9,7.0,7.3,4.0,3.3,2017,22.0,7.8
Nevada,Y,638420.0,35.0,-0.195,23.0,189.7,40.0,285.0,37.0,74.7,47.0,69.2,31.0,11.1,20.0,27.8,42.0,20.8,5.0,28.3,28.0,36.7,24.0,71.9,18.0,5.3,29.0,72.0,8.0,25.8,30.0,7729.0,46.0,107.9,48.0,12.2,44.0,5.9,2017,44.0,11.9
Missouri,N,957642.0,41.0,-0.273,41.0,209.0,41.0,288.6,34.0,75.6,28.0,77.9,37.0,11.5,30.0,30.1,30.0,17.6,36.0,34.1,32.0,37.1,43.0,66.9,30.0,6.3,37.0,77.1,34.0,31.7,40.0,8558.0,16.0,160.4,12.0,7.8,21.0,4.4,2017,31.0,9.4
Louisiana,Y,1455541.0,49.0,-0.687,46.0,218.2,46.0,316.2,24.0,77.7,35.0,75.4,42.0,12.1,4.0,19.9,32.0,17.7,46.0,39.3,46.0,39.2,44.0,66.8,45.0,7.6,41.0,81.4,46.0,35.5,46.0,10003.0,33.0,131.1,41.0,10.7,48.0,6.2,2017,42.0,11.1
Rhode Island,Y,312705.0,7.0,0.45899999999999996,34.0,197.5,19.0,232.0,8.0,81.4,5.0,87.2,19.0,9.8,42.0,33.7,47.0,24.9,29.0,32.4,14.0,35.2,14.0,75.5,10.0,5.0,20.0,67.4,10.0,26.6,15.0,6516.0,1.0,256.3,32.0,10.1,37.0,5.4,2017,6.0,5.0
Delaware,Y,247948.0,28.0,-0.009000000000000001,33.0,197.2,28.0,250.7,9.0,81.2,13.0,83.2,27.0,10.6,48.0,35.8,40.0,20.0,39.0,34.5,44.0,39.1,4.0,78.1,48.0,7.9,19.0,67.1,27.0,30.7,32.0,7871.0,18.0,156.7,18.0,8.3,20.0,4.3,2017,11.0,5.8
Oklahoma,N,734277.0,43.0,-0.326,45.0,216.9,48.0,335.2,40.0,74.3,36.0,75.3,41.0,12.0,9.0,24.3,41.0,20.3,41.0,36.2,37.0,38.0,42.0,67.0,47.0,7.7,48.0,93.5,42.0,32.8,44.0,9951.0,35.0,127.5,24.0,9.2,34.0,5.1,2017,48.0,13.9
Connecticut,Y,836906.0,4.0,0.564,8.0,173.7,9.0,218.4,4.0,83.3,7.0,85.2,19.0,9.8,40.0,33.5,36.0,18.4,20.0,30.4,34.0,37.4,12.0,75.7,15.0,5.2,8.0,57.4,9.0,26.0,4.0,5771.0,4.0,209.4,42.0,10.8,35.0,5.2,2017,7.0,5.5
Alaska,Y,176799.0,33.0,-0.139,29.0,193.3,9.0,214.1,49.0,69.2,50.0,64.7,3.0,7.6,13.0,25.1,34.0,16.0,4.0,27.5,6.0,33.9,48.0,66.3,27.0,6.1,45.0,86.7,24.0,29.8,35.0,7857.0,28.0,134.1,45.0,12.1,47.0,6.7,2016,49.0,16.1
Arizona,Y,1739041.0,30.0,-0.062,6.0,170.0,7.0,213.7,27.0,76.9,44.0,72.5,27.0,10.1,43.0,31.4,41.0,18.6,23.0,30.8,33.0,37.3,26.0,72.3,23.0,5.7,38.0,76.6,17.0,28.4,24.0,7148.0,37.0,123.3,49.0,12.8,42.0,6.0,2016,37.0,12.2
Arkansas,Y,948181.0,48.0,-0.506,46.0,218.1,47.0,317.3,29.0,76.8,12.0,83.5,44.0,12.6,10.0,23.8,14.0,12.1,46.0,39.3,49.0,41.3,46.0,66.6,47.0,7.6,40.0,77.1,45.0,34.5,45.0,9762.0,43.0,114.7,20.0,9.5,25.0,5.2,2016,30.0,10.7
